Catalog_number,Identification,Country,State,County,Locality,Collector,Date,Year,Decade,Collector_number,Sex,Age,Prep,Location_in_collections ,Beak_length_mm,Beak_width_ventral_base_mm,Anterior_nostril_tip_mm,Beak_depth_mm,Tarsus_length_mm,Wing_chord_mm,Notes
378690,Sturnus vulgaris,England,Middlesex,Twickenham,,,Dec-06,1906,,,F,,SKIN,lower tray 360 A 35 (Great Britain),21.79,7.74,16.79,7.27,29.3,124,
378683,Sturnus vulgaris,England,Kent,"Dymchurch, Romney Marsh",,,26-Sep-10,1910,,,F,,SKIN,lower tray 360 A 35 (Great Britain),22.58,7.62,16.65,6.69,28.72,124,
378687,Sturnus vulgaris,England,Leicestershire,,,,28-Mar-12,1912,,,F,,SKIN,lower tray 360 A 35 (Great Britain),23.97,7.2,17.28,7.52,29.63,124,
378701,Sturnus vulgaris,England?,"Wall of Gall, Lt. Ho.",,,,31-Mar-11,1911,,,F,,SKIN,lower tray 360 A 35 (Great Britain),24.45,8.39,17.39,6.53,29.79,130,
378702,Sturnus vulgaris,Scotland,Isle of May,,,,2-Nov-08,1908,,,F,,SKIN,lower tray 360 A 35 (Great Britain),25.56,8.35,17.4,7.28,32.21,123,
665491,Sturnus vulgaris,England,"Reservoirs, Tring, Herts",,,N. C. Rothschild,26-Dec-21,1921,,,M,,SKIN,lower tray 360 A 35 (Great Britain),23.71,8.65,16.65,7.45,30.35,131,
665495,Sturnus vulgaris,England,"Reservoirs, Tring, Herts",,,,27-Dec-21,1921,,,F,,SKIN,lower tray 360 A 35 (Great Britain),22.41,7.71,17.58,7.32,33.42,120,
665503,Sturnus vulgaris,England,"Tring, Herts",,,A. Minall,21 Sep 1893,1893,,,M,,SKIN,lower tray 360 A 35 (Great Britain),25.55,8.41,16.62,7.47,33.14,130,
665477,Sturnus vulgaris,England,Eton,,,"E. Gurney
R. Gurney",Mar 1891,1891,,,M,,SKIN,lower tray 360 A 35 (Great Britain),25.9,7.7,18.19,7.43,30.32,127,
54503,Sturnus vulgaris,England,Kingsbridge,,,R. P. Nicholls,02 Nov 1877,1877,,,M,,SKIN,lower tray 360 A 35 (Great Britain),25.18,8.36,17.66,7.88,34.13,125,
665488,Sturnus vulgaris,England,"Reservoirs, Tring, Herts",,,N. C. Rothschild,20-Dec-21,1921,,,M,,SKIN,lower tray 360 A 35 (Great Britain),25.88,8.38,18.15,7.11,33.75,128,
665501,Sturnus vulgaris,England,"Tring, Herts",,,N. C. Rothschild,29-Sep-00,1900,,,M,,SKIN,lower tray 360 A 35 (Great Britain),26.67,8.77,16.77,7.22,31.29,126,
665502,Sturnus vulgaris,England ,"Tring, Herts",,,N. C. Rothschild,21 Sep 1893,1893,,,M,,SKIN,lower tray 360 A 35 (Great Britain),24.46,8.65,17.78,7.69,30.95,128,"wing fell off, sawdust spilled out"
SKIN 665534,Sturnus vulgaris vulgaris,United Kingdom,England,Hertfordshire,Tring,N. C. Rothschild,21-Jul-02,1902,,21-Jul-02,,-,SKIN,lower tray 360 A 35 (Great Britain),25.08,7.37,19.42,8.09,31.17,??,Where is this bird? 
JZ = 12/18/18,,,,,,,,,,,,,,,,,,,,,
665531,Sturnus vulgaris,England ,Hertfordshire,Tring,,,3-Oct-18,,,,F,,SKIN,lower tray 360 A 35 (Great Britain),21.58,8.13,15.25,6.41,30.32,119,JUVENILE?
665530,Sturnus vulgaris,England ,Hertfordshire,Tring,,,20-Jan-12,1912,,,F,,SKIN,lower tray 360 A 35 (Great Britain),24.41,7.67,17.11,6.8,28.48,110,JUVENILE?
665512,Sturnus vulgaris,England ,"Tring, Herts",,,Britton,24 Oct 1898,1898,,,M,,SKIN,"upper middle tray, no label (Uk specimens)",23.35,7.89,17.07,7.19,30.45,123,
378685,Sturnus vulgaris,England ,Hertfordshire,Welwyn,,,27-Nov-12,1912,,,M,,SKIN,"upper middle tray, no label (Uk specimens)",25.41,8.76,18.05,6.7,30.83,123,
665527,Sturnus vulgaris,England ,Hertfordshire,Tring,,,9-Nov-18,1918,,,M,,SKIN,"upper middle tray, no label (Uk specimens)",23.88,7.6,16.72,7.77,34.9,128,beak tip slightly worn
665526,Sturnus vulgaris,England ,Hertfordshire,Tring,,,17 Jan 1895,1895,,,F,,SKIN,"upper middle tray, no label (Uk specimens)",25.71,8.17,17.92,8.03,35.03,125,
665546,Sturnus vulgaris,England ,"Ashtonwold, Oundle, Northants",,,N. C. Rothschild,12-Jun-21,1921,,,M,,SKIN,"upper middle tray, no label (Uk specimens)",23.06,8.67,16.49,7.38,33.32,125,"wing prepped very close to body, difficult to measure"
378680,Sturnus vulgaris,England ,Bedford,,,,8-May-14,1914,,,M,,SKIN,"upper middle tray, no label (Uk specimens)",23.24,7.73,17.26,8.2,27.89,123,"beak slightly open, depth not reliable; wing prepped very close to body, difficult to measure"
665532,Sturnus vulgaris,England ,Hertfordshire,Tring,,,26-Oct-14,1914,,,F,,SKIN,"upper middle tray, no label (Uk specimens)",22.37,7.85,16.69,6.25,31.32,120,
665544,Sturnus vulgaris,England ,"Sprowston, Norwich",,,"E. Gurney
R. Gurney",Jan 1893,1893,,,F,,SKIN,"upper middle tray, no label (Uk specimens)",24.44,7.79,16.08,7.55,28.39,120,
665542,Sturnus vulgaris,England ,"Sprowston, Norwich",,,"E. Gurney
R. Gurney",Oct 1894,1894,,,M,,SKIN,"upper middle tray, no label (Uk specimens)",23.98,8.73,16.91,6.88,31.62,120,"legs prepped up tightly, tarsus hard to measure"
665547,Sturnus vulgaris,England ,"Ashtonwold, Oundle, Northants",,,N. C. Rothschild,11-Dec-21,1921,,,M,,SKIN,"upper middle tray, no label (Uk specimens)",25.39,7.73,17.03,6.99,30.43,126,
665548,Sturnus vulgaris,England ,"Ashtonwold, Oundle, Northants",,,N. C. Rothschild,12-Nov-21,1921,,,F,,SKIN,"upper middle tray, no label (Uk specimens)",24.53,8.32,16.5,6.6,29.47,125,
