,,Museum,,Species,Phylum,Class,Order,Family,Collector,Continent,Country,State,Locality,Sex,,,,,Date,Location_in_collections ,Beak_length_mm,Beak_width_ventral_base_mm,Anterior_nostril_tip_mm,Beak_depth_mm,Tarsus_length_mm,Wing_chord_mm,Notes
54409,772108,FMNH,Birds,Sturnus vulgaris vulgaris,Chordata,Aves,Passeriformes,Sturnidae,A. Fischer,Europe,Germany,Bavaria,Rain Lech,,No,772108,skin(r),skull | Weight | Fat | Tissue | Molt | Gonads | Stomach Contents| Iris Color | Upper Mandible Color | Lower Mandible Color | Tarsus Color | Tarsus Color,"Monday, September 15, 2008",,,,,,,,
54410,772109,FMNH,Birds,Sturnus vulgaris vulgaris,Chordata,Aves,Passeriformes,Sturnidae,A. Fischer,Europe,Germany,Bavaria,Rain Lech,,No,772109,skin(r),skull | Weight | Fat | Tissue | Molt | Gonads | Stomach Contents| Iris Color | Upper Mandible Color | Lower Mandible Color | Tarsus Color | Tarsus Color,"Monday, September 15, 2008",,,,,,,,
54411,772110,FMNH,Birds,Sturnus vulgaris vulgaris,Chordata,Aves,Passeriformes,Sturnidae,A. Fischer,Europe,Germany,Bavaria,Augsburg,Male,No,772110,skin(r),skull | Weight | Fat | Tissue | Molt | Gonads | Stomach Contents| Iris Color | Upper Mandible Color | Lower Mandible Color | Tarsus Color | Tarsus Color,"Monday, September 19, 2011",,,,,,,,
54412,772111,FMNH,Birds,Sturnus vulgaris vulgaris,Chordata,Aves,Passeriformes,Sturnidae,A. Fischer,Europe,Germany,Bavaria,Augsburg,Male,No,772111,skin(r),skull | Weight | Fat | Tissue | Molt | Gonads | Stomach Contents| Iris Color | Upper Mandible Color | Lower Mandible Color | Tarsus Color | Tarsus Color,"Saturday, October 5, 2019",,,,,,,,
54413,772112,FMNH,Birds,Sturnus vulgaris vulgaris,Chordata,Aves,Passeriformes,Sturnidae,A. Fischer,Europe,Germany,Bavaria,Augsburg,Female,No,772112,skin(r),skull | Weight | Fat | Tissue | Molt | Gonads | Stomach Contents| Iris Color | Upper Mandible Color | Lower Mandible Color | Tarsus Color | Tarsus Color,"Tuesday, September 21, 2021",,,,,,,,
54414,772113,FMNH,Birds,Sturnus vulgaris vulgaris,Chordata,Aves,Passeriformes,Sturnidae,A. Fischer,Europe,Germany,Bavaria,Augsburg,Female,No,772113,skin(r),skull | Weight | Fat | Tissue | Molt | Gonads | Stomach Contents| Iris Color | Upper Mandible Color | Lower Mandible Color | Tarsus Color | Tarsus Color,"Tuesday, July 3, 2018",,,,,,,,
54415,772114,FMNH,Birds,Sturnus vulgaris vulgaris,Chordata,Aves,Passeriformes,Sturnidae,A. Fischer,Europe,Germany,Bavaria,Augsburg,Male,No,772114,skin(r),skull | Weight | Fat | Tissue | Molt | Gonads | Stomach Contents| Iris Color | Upper Mandible Color | Lower Mandible Color | Tarsus Color | Tarsus Color,"Wednesday, October 16, 2019",,,,,,,,
54416,772115,FMNH,Birds,Sturnus vulgaris vulgaris,Chordata,Aves,Passeriformes,Sturnidae,A. Fischer,Europe,Germany,Bavaria,Augsburg,Male,No,772115,skin(r),skull | Weight | Fat | Tissue | Molt | Gonads | Stomach Contents| Iris Color | Upper Mandible Color | Lower Mandible Color | Tarsus Color | Tarsus Color,"Saturday, October 5, 2019",,,,,,,,
54417,772116,FMNH,Birds,Sturnus vulgaris vulgaris,Chordata,Aves,Passeriformes,Sturnidae,A. Fischer,Europe,Germany,Bavaria,Augsburg,Female,No,772116,skin(r),skull | Weight | Fat | Tissue | Molt | Gonads | Stomach Contents| Iris Color | Upper Mandible Color | Lower Mandible Color | Tarsus Color | Tarsus Color,"Friday, October 28, 2016",,,,,,,,
54418,772117,FMNH,Birds,Sturnus vulgaris vulgaris,Chordata,Aves,Passeriformes,Sturnidae,A. Fischer,Europe,Germany,Bavaria,Augsburg,Male,No,772117,skin(r),skull | Weight | Fat | Tissue | Molt | Gonads | Stomach Contents| Iris Color | Upper Mandible Color | Lower Mandible Color | Tarsus Color | Tarsus Color,"Saturday, October 5, 2019",,,,,,,,
